Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Digital Marketing,Cannibals Media Pvt. Ltd.,Work from home,Starts immediatelyImmediately,1 Month,"₹ 3,000 /month",28 Apr' 25,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Influencer Marketing,Everstylish Lifestyle Private Limited,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",28 May' 25,"Effective Communication, Certificate, Letter of recommendation, Informal dress code",N/A
Language Expert (Gujarati),Solvitude,Work from home,Starts immediatelyImmediately,1 Month,"₹ 7,000 - 25,000 /month",28 May' 25,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Gujarati Proficiency (Spoken), Gujarati Proficiency (Written), Proofreading, Time Management, Transcription, TypeScript, Certificate, Letter of recommendation, Flexible work hours",N/A
Social Media Marketing,Cannibals Media Pvt. Ltd.,Work from home,Starts immediatelyImmediately,1 Month,"₹ 3,000 /month",28 Apr' 25,"English Proficiency (Spoken), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
"Content Writing- Preparing For Group Exams, CA, Or UPSC",RandomStrangerChats,Work from home,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",28 May' 25,"Blogging, Content Marketing, Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Certificate, Letter of recommendation, Flexible work hours",N/A
Human Resources (HR),Incolor Cosmetics,Delhi,Starts immediatelyImmediately,6 Months,"₹ 3,000 - 5,000 /month",28 May' 25,"English Proficiency (Spoken), MS-Excel, MS-Office, MS-Word, Certificate, Letter of recommendation",N/A
Data Entry,ABM Traders,Hyderabad                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 18,000 - 26,000 /month",28 May' 25,"MS-Office, Certificate, Letter of recommendation",N/A
Data Entry,ASAR & SONS IMPEX LLP,Hyderabad                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 18,000 - 20,000 /month",28 May' 25,"MS-Excel, Certificate, Letter of recommendation",N/A
Data Entry,Bookitfree.com Private Limited,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 10,001 - 25,000 /month",28 May' 25,"English Proficiency (Written), Microsoft 365, Microsoft Outlook, Letter of recommendation, Informal dress code, Job offer",N/A
Client Servicing,NJM Productions,Bangalore                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 20,000 - 26,000 /month",28 May' 25,"ChatGPT, English Proficiency (Spoken), English Proficiency (Written), Video Editing, Video Making, Video Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Job offer",N/A
Computer Vision,Edith Defence Systems Private Limited,Navi Mumbai,Starts immediatelyImmediately,4 Months,"₹ 12,000 - 15,000 /month",28 May' 25,"Computer Vision, Deep Learning, Docker, Git, Linux, Machine Learning, OpenCV, Python, Letter of recommendation, Informal dress code, Job offer",N/A
Front End Development,RegisterKaro,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",28 May' 25,"Bootstrap, CSS, HTML, JavaScript, React, Redux, Certificate, Informal dress code, Free snacks & beverages, Job offer",N/A
General Management,Wiso Energy Solution,Work from home,Starts immediatelyImmediately,3 Months,"₹ 9,000 /month",28 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Office, Certificate, Letter of recommendation",N/A
Technical Support,Quantazone,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",28 May' 25,"Amazon CloudFront, Amazon CloudWatch, Computer skills, English Proficiency (Spoken), English Proficiency (Written), Google Cloud Platforms (GCP), Certificate",N/A
Search Engine Optimization (SEO),Deepnexus S,Coimbatore,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 6,000 /month",28 May' 25,"Digital Marketing, Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",N/A
Digital Marketing,Quantazone,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",28 May' 25,"Artificial intelligence, Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Graphic Design, Instagram Marketing, LinkedIn Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, UI & UX Design, WordPress, Certificate",N/A
Graphic Design,Shri Ram Bharat Enterprise,Greater Noida West,Starts immediatelyImmediately,3 Months,"₹ 9,500 - 34,000 /month",26 May' 25,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI & UX Design, Video Editing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Law/Legal,Anirudh Suresh,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 6,001 /month",25 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Job offer",N/A
Graphic Design,Rever Industries,Nashik,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",24 May' 25,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Video Editing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Business Development (Sales),Rever Industries,Nashik,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",24 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Sales, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Business Development (Sales),Nandi Panchgavya,Ahmedabad                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",24 May' 25,"Client Relationship, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Certificate",N/A
Graphic Design,Nandi Panchgavya,Ahmedabad,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 9,000 /month",25 May' 25,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Canva, MS-PowerPoint, Certificate, Letter of recommendation",N/A
Human Resources (HR),ONE XL INFO LLP,Pune,Starts immediatelyImmediately,3 Months,"₹ 15,000 lump sum",26 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Google Sheets, MS-Excel, MS-Word, Recruitment, Certificate",N/A
Marketing (MBA),Eyeshealth Vision Plus Private Limited,Varanasi,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 35,000 /month",23 May' 25,"Effective Communication, English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, Free snacks & beverages, Job offer",N/A
Supply Chain & Logistics Operations,KAHVA Jaipur,Jaipur,Starts immediatelyImmediately,4 Months,"₹ 6,000 - 10,000 /month",25 May' 25,"Effective Communication, MS-Excel, Certificate, Informal dress code",N/A
Operations,Corporate Connections,Rajkot,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",21 May' 25,"Artificial intelligence, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Organizational Development, Scheduling, Technical Support, Time Management, Certificate, Letter of recommendation, Job offer",N/A
Social Media Marketing,Eduminatti,Dehradun,Starts immediatelyImmediately,2 Months,"₹ 2,000 - 2,500 /month",24 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Certificate, Letter of recommendation",N/A
Sales,Boomcast Media Network Private Limited,"Delhi, Gurgaon, Noida",Starts immediatelyImmediately,6 Months,"₹ 8,000 - 12,000 /month",27 May' 25,"Digital Marketing, English Proficiency (Spoken), Sales Strategy, Sales Support",N/A
Business Development (Sales),ArthaSarthi Financial Services,Pune,Starts immediatelyImmediately,6 Months,"₹ 17,000 - 30,000 /month",26 May' 25,"Sales, Certificate, Letter of recommendation, Job offer",N/A
Creative Management,The Monastery,Ahmedabad,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",24 May' 25,"Content Editing, Creativity, Digital Marketing, Management, Operations, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Graphic Design,Alphanumeric Ideas Private Limited,Mohali,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 6,000 /month",22 May' 25,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Sketch, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Law/Legal,Movi Ecoserve Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 6,000 - 8,000 /month",23 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word, Certificate, Letter of recommendation, 5 days a week",N/A
Operations,SharePal,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 20,000 - 25,000 /month",23 May' 25,"Client Relationship Management (CRM), Coordination, English Proficiency (Spoken), English Proficiency (Written), Logistics Management, MS-Office, Certificate, Informal dress code",N/A
Operations,Rentkar-Switch To Share,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",25 May' 25,"MS-Excel, MS-Office, Certificate, Letter of recommendation",N/A
Motion Graphics,Trade Brains,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 12,000 - 15,000 /month",24 May' 25,"Adobe After Effects, Adobe Animate, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Motion Graphics, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Sales,NestAway Technologies Private Limited,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 12,000 /month",22 May' 25,"Effective Communication, MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Human Resources (HR),Inorbvict Healthcare India Private Limited,Pune,Starts immediatelyImmediately,3 Months,"₹ 3,000 - 6,000 /month",22 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate",N/A
Business Development (Sales),Puzzles Living,Bangalore,Starts immediatelyImmediately,2 Months,"₹ 8,000 - 15,000 /month",25 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Sales Consultant,Brisk Elevators & Escalators Pvt Ltd,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 20,000 /month",31 May' 25,"Client Relationship Management (CRM), Effective Communication, MS-Excel, MS-Word, Certificate, Letter of recommendation, Job offer",N/A
Telecalling,Digitalist,Bangalore,Starts immediatelyImmediately,1 Month,"₹ 10,000 - 15,000 /month",24 May' 25,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Certificate, Letter of recommendation",N/A
Sales,Elegant Builders And Developers,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 7,500 - 10,000 /month",23 May' 25,"Client Interaction, Client Relationship, Coordination, Interpersonal skills, Market Analysis, Marketing, Marketing Campaigns, Negotiation, Presentation skills, Problem Solving, Sales, Certificate, Letter of recommendation",N/A
Sales and Marketing,Home Canvas,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",23 May' 25,"Effective Communication, Market Analysis, MS-Excel, Presentation skills, Sales, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Videography,ODI STUDIOS,Bangalore,Starts immediatelyImmediately,2 Months,"₹ 11,000 - 25,000 /month",23 May' 25,"Videography, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Inside Sales,Avon Building Solutions Private Limited,Pune,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 18,000 /month",25 May' 25,"Computer skills, Digital Marketing, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Certificate, Job offer",N/A
Business Development (Sales),Amplicomm Solutions Private Limited,Pune,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 7,500 /month",23 May' 25,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, MS-Excel, Organizational Development, Research and Analytics, Sales, Social Media Marketing, Time Management, Certificate, Letter of recommendation, 5 days a week, Free snacks & beverages, Job offer",N/A
Video Editing/Making,Skillinabox,Pune,Starts immediatelyImmediately,3 Months,"₹ 12,000 - 19,000 /month",22 May' 25,"Adobe Premiere Pro, Video Editing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Marketing,Exzellenz Career Shapers Private Limited,Bangalore,Starts immediatelyImmediately,2 Months,"₹ 15,000 - 20,000 /month",23 May' 25,"Effective Communication, Marketing Campaigns, Presentation skills, Certificate, Letter of recommendation, Job offer",N/A
Product Marketing,Avon Building Solutions Private Limited,Pune,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 18,000 /month",25 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Marketing (SEM), Social Media Marketing, Certificate, Job offer",N/A
CA Articleship,Pasumarthy & Co.,Chennai,Starts immediatelyImmediately,36 Months,"₹ 7,000 /month",23 May' 25,"Accounting, English Proficiency (Written), MS-Office, Problem Solving, Statutory compliances, Time Management, Flexible work hours, Free snacks & beverages",N/A
Operations Trainee,Avaesa,Chennai,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",25 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Enterprise Resource Planning(ERP), ERP Implementation and Deployment, Google Suite (G Suite), MS-Excel, MS-Office, Certificate",N/A
Social Media Marketing,Zupain Tech Private Limited,Chennai,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",26 May' 25,"Branding, Canva, Content Management, Content Writing, Copywriting, Graphic Design, Social Media Marketing, Video Editing, Video Making, Certificate, Informal dress code, Free snacks & beverages",N/A
Digital Marketing,SOCIOTOPS MARKETING PRIVATE LIMITED,Jaipur,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 8,000 /month",22 May' 25,"Canva, Creative Writing, Digital Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Job offer",N/A
Graphic Design,Cloudspace Solutions,Kolkata,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 10,000 /month",23 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Video Editing, Certificate, Letter of recommendation",N/A
Brand Execution,Tring,"Thane, Navi Mumbai, Mumbai, Panvel",Starts immediatelyImmediately,3 Months,"₹ 11,000 - 15,000 /month",28 Apr' 25,"Client Relationship, Effective Communication, Event Management, Negotiation, Problem Solving, Certificate, Letter of recommendation, Informal dress code",N/A
Social Media Marketing,Adben Industries Private Limited,"Kolkata, West Bengal                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",24 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Graphic Design, Instagram Marketing, Marketing Campaigns, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Lead Generation,WEMATTER PXT Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 15,000 /month",23 May' 25,"English Proficiency (Spoken), MS-Excel, MS-Office, Certificate, Letter of recommendation, Flexible work hours",N/A
Sales,Rentkar-Switch To Share,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 12,000 /month",25 May' 25,"Effective Communication, Certificate, Letter of recommendation, Job offer",N/A
Telecalling,Indian Institute Of Excellence And Consultancy Private Limited,"Mumbai, Thane, Navi Mumbai, Dombivli, Kalyan",Starts immediatelyImmediately,5 Months,"₹ 10,000 - 12,000 /month",24 May' 25,"Effective Communication, Informal dress code",N/A
Graphic Design,CyberFrat,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 7,000 - 10,000 /month",24 May' 25,"Adobe Creative Suite, Adobe Photoshop, Canva, MS-PowerPoint, Certificate, Letter of recommendation",N/A
Video Editing/Making,Aliff Overseas Pvt Ltd,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",23 May' 25,"Adobe After Effects, Adobe Premiere Pro, Final Cut Pro, Video Editing, Certificate, Letter of recommendation, Flexible work hours",N/A
Search Engine Optimization (SEO),Candies Studio,"Thane, Navi Mumbai, Mumbai                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 13,000 - 15,000 /month",26 May' 25,"Digital Marketing, Google AdWords, Google Keyword Planner, Search Engine Optimization (SEO), Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer",N/A
Graphic Design,CATKing Educare,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 8,000 /month",28 Apr' 25,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Canva, Graphic Design, UI & UX Design, Certificate, Informal dress code",N/A
Graphic Design,Imperio Railing Systems,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 23,000 - 25,000 /month",23 May' 25,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Graphic Design,Tring,"Thane, Navi Mumbai, Mumbai",Starts immediatelyImmediately,3 Months,"₹ 11,000 - 15,000 /month",28 Apr' 25,"Adobe Illustrator, Adobe Photoshop, Canva, UI & UX Design, Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Human Resources (HR),Flybed Home,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 15,000 /month",23 May' 25,"Human Resources, Interpersonal skills, Management, Recruitment, Talent Management, Certificate, Letter of recommendation",N/A
Furniture And Lighting Design,Home Canvas,Bangalore,Starts immediatelyImmediately,4 Months,"₹ 12,500 - 1,50,000 /month",22 May' 25,"Design Thinking, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Content Creator,Eat Nino Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 12,000 /month",23 May' 25,"Content Editing, Video Editing, Videography, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Influencer Marketing,Dolphin Ad World Private Limited,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 8,000 - 11,000 /month",24 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Negotiation, Problem Solving, Certificate, Letter of recommendation, Informal dress code",N/A
Human Resources (HR),FynTune Solution Private Limited,"Navi Mumbai, Mumbai",Starts immediatelyImmediately,6 Months,"₹ 12,000 - 18,000 /month",23 May' 25,"Effective Communication, Leadership, Recruitment, Team Management, Certificate, Letter of recommendation",N/A
Mechanical Engineering,Movi Ecoserve Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 10,000 /month",24 May' 25,"AutoCAD, MS-Excel, MS-Office, Certificate, Letter of recommendation, 5 days a week",N/A
Social Media Marketing,Rishita Makhija,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 12,500 - 17,000 /month",23 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Letter of recommendation, Informal dress code, 5 days a week",N/A
Campus Ambassador,GradGuide,Mumbai,Starts immediatelyImmediately,4 Months,Performance Based,24 May' 25,"Critical thinking, Effective Communication, English Proficiency (Spoken), Leadership, Public Speaking, Sales, Certificate, Letter of recommendation",N/A
